fouls,yellow_cards,red_cards,possession_rate,shots,shot_on target,passing,passing_success,passing_success_rate,crossing,corners,offside,unkown,head,head_success,save,slide_tackle,shot_out_of target,blocked_shots,thorw-in,stars,hometeam,funny_rating
12.0,4.0,0.0,59.0,6.0,2.0,486.0,377.0,0.78,14.0,3.0,1.0,0.0,51.0,28.0,1.0,16.0,2.0,2.0,18.0,6.92,1.0,1.0
13.0,2.0,0.0,42.0,12.0,1.0,450.0,364.0,0.81,15.0,2.0,0.0,0.0,25.0,13.0,2.0,30.0,7.0,4.0,14.0,6.62,0.0,1.0
15.0,3.0,0.0,29.0,5.0,3.0,264.0,180.0,0.68,16.0,2.0,2.0,0.0,31.0,14.0,6.0,34.0,1.0,1.0,18.0,6.88,1.0,1.0
7.0,2.0,0.0,40.0,11.0,3.0,358.0,273.0,0.76,13.0,4.0,0.0,0.0,26.0,10.0,3.0,46.0,6.0,2.0,20.0,7.46,0.0,1.0
13.0,0.0,0.0,25.0,11.0,4.0,239.0,132.0,0.55,6.0,3.0,2.0,0.0,49.0,25.0,5.0,35.0,3.0,4.0,16.0,6.95,1.0,1.0
15.0,4.0,0.0,64.0,10.0,3.0,468.0,387.0,0.83,8.0,4.0,0.0,0.0,30.0,12.0,1.0,28.0,7.0,0.0,25.0,6.49,0.0,1.0
12.0,3.0,0.0,60.0,9.0,3.0,481.0,382.0,0.79,3.0,5.0,2.0,0.0,37.0,21.0,1.0,34.0,2.0,2.0,24.0,6.62,1.0,1.0
14.0,2.0,0.0,41.0,6.0,2.0,389.0,283.0,0.73,8.0,2.0,0.0,0.0,31.0,15.0,3.0,49.0,2.0,2.0,22.0,6.82,0.0,1.0
15.0,1.0,0.0,48.0,7.0,0.0,503.0,407.0,0.81,8.0,3.0,3.0,0.0,38.0,21.0,3.0,42.0,3.0,4.0,15.0,6.47,1.0,1.0
5.0,1.0,0.0,57.0,12.0,4.0,527.0,450.0,0.85,12.0,6.0,3.0,0.0,40.0,14.0,2.0,33.0,5.0,3.0,25.0,6.56,0.0,1.0
11.0,3.0,0.0,59.0,7.0,2.0,515.0,428.0,0.83,5.0,4.0,3.0,0.0,52.0,31.0,2.0,34.0,4.0,1.0,18.0,7.06,1.0,1.0
14.0,1.0,0.0,49.0,8.0,3.0,474.0,370.0,0.78,7.0,1.0,0.0,0.0,35.0,17.0,4.0,51.0,5.0,3.0,28.0,6.97,1.0,1.0
18.0,3.0,0.0,49.0,7.0,2.0,353.0,262.0,0.74,10.0,9.0,1.0,0.0,49.0,21.0,0.0,33.0,5.0,4.0,20.0,6.74,0.0,1.0
13.0,0.0,0.0,48.0,13.0,5.0,253.0,163.0,0.64,3.0,4.0,1.0,0.0,46.0,28.0,0.0,22.0,5.0,3.0,29.0,6.71,0.0,1.0
14.0,0.0,0.0,59.0,16.0,7.0,466.0,368.0,0.79,10.0,2.0,1.0,0.0,33.0,16.0,5.0,20.0,7.0,2.0,28.0,6.96,1.0,1.0
7.0,1.0,0.0,60.0,16.0,5.0,494.0,386.0,0.78,7.0,8.0,3.0,0.0,43.0,22.0,1.0,21.0,8.0,3.0,33.0,7.09,0.0,1.0
9.0,2.0,0.0,47.0,9.0,1.0,334.0,217.0,0.65,7.0,3.0,1.0,0.0,69.0,28.0,0.0,23.0,6.0,3.0,22.0,7.03,1.0,1.0
11.0,2.0,0.0,62.0,22.0,5.0,466.0,363.0,0.78,2.0,11.0,4.0,0.0,49.0,25.0,1.0,13.0,10.0,7.0,35.0,6.91,1.0,1.0
7.0,0.0,0.0,51.0,23.0,11.0,445.0,342.0,0.77,7.0,13.0,1.0,0.0,31.0,20.0,2.0,25.0,7.0,5.0,32.0,6.9,0.0,1.0
9.0,0.0,0.0,51.0,10.0,4.0,390.0,304.0,0.78,7.0,4.0,6.0,0.0,40.0,18.0,3.0,24.0,6.0,4.0,26.0,7.25,0.0,1.0
10.0,0.0,0.0,47.0,15.0,7.0,400.0,323.0,0.81,10.0,5.0,2.0,0.0,14.0,6.0,3.0,28.0,5.0,3.0,30.0,7.27,0.0,0.0
8.0,0.0,0.0,47.0,12.0,6.0,382.0,292.0,0.76,6.0,6.0,1.0,0.0,36.0,18.0,2.0,35.0,4.0,2.0,25.0,7.15,1.0,1.0
8.0,2.0,0.0,57.0,15.0,2.0,450.0,371.0,0.82,10.0,4.0,0.0,0.0,29.0,11.0,5.0,30.0,5.0,8.0,31.0,7.06,0.0,1.0
6.0,2.0,0.0,61.0,11.0,5.0,555.0,459.0,0.83,7.0,12.0,1.0,0.0,35.0,18.0,2.0,35.0,2.0,4.0,30.0,6.68,1.0,1.0
11.0,1.0,0.0,62.0,11.0,3.0,466.0,329.0,0.71,7.0,2.0,4.0,0.0,70.0,35.0,0.0,18.0,8.0,4.0,29.0,6.6,1.0,1.0
8.0,1.0,0.0,55.0,19.0,6.0,468.0,365.0,0.78,5.0,6.0,0.0,0.0,44.0,18.0,1.0,27.0,13.0,2.0,39.0,7.13,0.0,1.0
7.0,1.0,0.0,52.0,16.0,5.0,452.0,332.0,0.73,1.0,4.0,1.0,0.0,50.0,11.0,1.0,22.0,9.0,5.0,29.0,6.49,1.0,1.0
11.0,0.0,0.0,45.0,15.0,8.0,406.0,300.0,0.74,5.0,11.0,2.0,0.0,34.0,13.0,2.0,15.0,7.0,6.0,37.0,7.03,1.0,1.0
7.0,0.0,0.0,55.0,14.0,9.0,477.0,341.0,0.71,4.0,4.0,3.0,0.0,55.0,25.0,4.0,14.0,6.0,0.0,20.0,7.08,0.0,1.0
12.0,3.0,1.0,46.0,11.0,5.0,405.0,315.0,0.78,4.0,3.0,5.0,0.0,34.0,16.0,2.0,23.0,5.0,1.0,26.0,6.91,1.0,1.0
16.0,1.0,0.0,65.0,11.0,4.0,529.0,420.0,0.79,4.0,10.0,1.0,0.0,32.0,17.0,2.0,13.0,5.0,3.0,32.0,6.7,1.0,1.0
12.0,2.0,0.0,54.0,8.0,2.0,403.0,304.0,0.75,3.0,6.0,0.0,0.0,37.0,12.0,1.0,19.0,8.0,3.0,34.0,6.69,0.0,1.0
9.0,2.0,0.0,64.0,8.0,2.0,524.0,404.0,0.77,7.0,4.0,4.0,0.0,40.0,26.0,3.0,32.0,6.0,3.0,32.0,6.72,0.0,1.0
14.0,2.0,0.0,56.0,12.0,2.0,482.0,352.0,0.73,3.0,3.0,3.0,0.0,45.0,19.0,4.0,31.0,5.0,5.0,27.0,6.64,1.0,1.0
14.0,3.0,0.0,42.0,10.0,6.0,338.0,226.0,0.67,3.0,5.0,0.0,0.0,45.0,17.0,6.0,19.0,4.0,0.0,29.0,7.22,1.0,1.0
13.0,0.0,0.0,48.0,16.0,4.0,406.0,319.0,0.79,5.0,4.0,0.0,0.0,33.0,13.0,2.0,33.0,7.0,5.0,22.0,7.54,0.0,1.0
12.0,1.0,0.0,47.0,5.0,2.0,351.0,261.0,0.74,3.0,3.0,2.0,0.0,36.0,14.0,1.0,9.0,2.0,1.0,24.0,6.93,0.0,1.0
7.0,1.0,0.0,40.0,9.0,6.0,353.0,260.0,0.74,7.0,4.0,3.0,0.0,41.0,19.0,2.0,34.0,3.0,1.0,19.0,7.51,1.0,0.0
5.0,0.0,0.0,53.0,16.0,5.0,565.0,477.0,0.84,5.0,7.0,1.0,0.0,24.0,16.0,2.0,22.0,7.0,5.0,24.0,7.11,0.0,1.0
10.0,2.0,1.0,70.0,20.0,7.0,598.0,529.0,0.88,6.0,8.0,0.0,0.0,16.0,10.0,3.0,18.0,8.0,5.0,21.0,6.96,0.0,1.0
13.0,2.0,0.0,54.0,15.0,8.0,458.0,329.0,0.72,2.0,3.0,2.0,0.0,42.0,28.0,5.0,20.0,1.0,6.0,33.0,7.5,1.0,1.0
11.0,1.0,0.0,28.0,3.0,3.0,249.0,142.0,0.57,7.0,2.0,1.0,0.0,22.0,12.0,3.0,38.0,0.0,0.0,18.0,7.22,1.0,1.0
10.0,1.0,0.0,62.0,11.0,1.0,556.0,441.0,0.79,7.0,9.0,6.0,0.0,38.0,19.0,5.0,28.0,6.0,4.0,21.0,7.07,0.0,1.0
12.0,0.0,0.0,48.0,2.0,1.0,417.0,326.0,0.78,8.0,3.0,2.0,0.0,36.0,14.0,3.0,26.0,5.0,0.0,16.0,6.16,1.0,0.0
9.0,0.0,0.0,57.0,19.0,3.0,555.0,426.0,0.77,10.0,4.0,4.0,0.0,59.0,33.0,1.0,16.0,12.0,4.0,25.0,7.17,0.0,1.0
3.0,1.0,0.0,74.0,25.0,10.0,719.0,613.0,0.85,5.0,15.0,0.0,0.0,37.0,17.0,1.0,18.0,9.0,6.0,21.0,7.5,0.0,0.0
12.0,5.0,0.0,54.0,15.0,8.0,484.0,371.0,0.77,7.0,3.0,2.0,0.0,65.0,33.0,4.0,24.0,4.0,3.0,28.0,7.13,1.0,1.0
12.0,2.0,0.0,55.0,17.0,5.0,470.0,388.0,0.83,6.0,6.0,1.0,0.0,27.0,8.0,4.0,16.0,7.0,5.0,30.0,6.55,1.0,1.0
10.0,3.0,0.0,50.0,18.0,6.0,448.0,351.0,0.78,6.0,6.0,4.0,0.0,32.0,13.0,3.0,23.0,6.0,6.0,29.0,6.99,0.0,1.0
11.0,2.0,0.0,60.0,6.0,1.0,522.0,405.0,0.78,11.0,3.0,1.0,0.0,32.0,13.0,2.0,27.0,4.0,1.0,28.0,6.35,1.0,1.0
16.0,3.0,0.0,43.0,6.0,2.0,346.0,244.0,0.71,3.0,8.0,1.0,0.0,26.0,14.0,6.0,28.0,2.0,2.0,20.0,7.28,0.0,0.0
16.0,6.0,0.0,47.0,11.0,9.0,434.0,311.0,0.72,6.0,1.0,1.0,0.0,48.0,26.0,7.0,33.0,1.0,1.0,21.0,7.28,1.0,1.0
6.0,3.0,0.0,49.0,18.0,4.0,452.0,362.0,0.8,4.0,4.0,2.0,0.0,23.0,12.0,3.0,28.0,9.0,5.0,17.0,6.88,0.0,1.0
